Video,BlinkRate,AvgClosureDegree,MaxClosureFrames,ValidDuration,Blinks,Duration
IMG_8673_00.avi,1,0.321002549,14,4,4,4
IMG_8673_01.avi,0.75,0.2663596,48,4,3,4
IMG_8673_02.avi,2,0.261434796,34,4,8,4
IMG_8673_03.avi,2,0.285583999,13,4,8,4
IMG_8673_04.avi,2.25,0.282827738,21,4,9,4
IMG_8673_05.avi,0.779220779,0.290323559,23,2.566666667,2,4
IMG_8673_06.avi,0.263157895,0.411697613,3,3.8,1,4
IMG_8673_07.avi,0.652173913,0.359062296,8,1.533333333,1,4
IMG_8673_08.avi,0,0.330900117,9,0.766666667,0,4
IMG_8673_09.avi,0.882352941,0.36132637,9,2.266666667,2,4
IMG_8673_10.avi,0.75,0.322843729,5,4,3,4
IMG_8673_11.avi,0.5,0.334612281,3,4,2,4
IMG_8673_12.avi,0.769230769,0.344604898,3,1.3,1,1.3
IMG_8674_00.avi,1.5,0.303001075,10,4,6,4
IMG_8674_01.avi,1,0.265130494,57,4,4,4
IMG_8674_02.avi,0,0.199729768,120,4,0,4
IMG_8674_03.avi,0,0.189084141,120,4,0,4
IMG_8674_04.avi,0,0.180663257,70,2.333333333,0,2.333333333
IMG_8675_00.avi,2.25,0.299040874,7,4,9,4
IMG_8675_01.avi,2.25,0.282630998,28,4,9,4
IMG_8675_02.avi,1.25,0.302232083,9,4,5,4
IMG_8675_03.avi,0.280373832,0.32692753,3,3.566666667,1,3.566666667
IMG_8676_00.avi,1.75,0.304522127,13,4,7,4
IMG_8676_01.avi,0.796460177,0.293362969,43,3.766666667,3,4
IMG_8676_02.avi,0.5,0.320670977,7,4,2,4
IMG_8676_03.avi,0.789473684,0.317737025,4,1.266666667,1,4
IMG_8676_04.avi,1.071428571,0.322700089,7,2.8,3,4
IMG_8676_05.avi,0.841121495,0.334635401,5,3.566666667,3,4
IMG_8676_06.avi,1,0.260549259,40,4,4,4
IMG_8676_07.avi,0.789473684,0.168134437,33,1.266666667,1,4
IMG_8676_08.avi,0.361445783,0.38707644,4,2.766666667,1,4
IMG_8676_09.avi,0.263157895,0.395728175,4,3.8,1,4
IMG_8676_10.avi,0,0.373958388,3,4,0,4
IMG_8676_11.avi,0.5,0.342158525,13,4,2,4
IMG_8676_12.avi,0.75,0.303704998,37,4,3,4
IMG_8676_13.avi,1.530612245,0.283510881,26,3.266666667,5,4
IMG_8676_14.avi,0.638297872,0.249192196,37,1.566666667,1,1.566666667
IMG_8685_00.avi,1.285714286,0.310635638,11,2.333333333,3,4
IMG_8685_01.avi,1.851851852,0.26993996,22,2.7,5,4
IMG_8685_02.avi,1.5,0.261166861,40,4,6,4
IMG_8685_03.avi,1,0.324329695,7,4,4,4
IMG_8685_04.avi,1,0.311737815,21,4,4,4
IMG_8685_05.avi,1.2,0.294850492,17,3.333333333,4,4
IMG_8685_06.avi,0.857142857,0.318952605,4,2.333333333,2,4
IMG_8685_07.avi,0.857142857,0.280788687,5,1.166666667,1,4
IMG_8685_08.avi,0.352941176,0.323053188,5,2.833333333,1,4
IMG_8685_09.avi,1.962616822,0.286702457,12,3.566666667,7,4
IMG_8685_10.avi,0.394736842,0.297192569,10,2.533333333,1,4
IMG_8685_11.avi,0.566037736,0.26028467,15,1.766666667,1,4
IMG_8685_12.avi,0.75,0.30548599,9,4,3,4
IMG_8685_13.avi,0,0.336883871,2,4,0,4
IMG_8685_14.avi,0.75,0.345454436,8,4,3,4
IMG_8685_15.avi,1.5,0.248130203,43,4,6,4
IMG_8685_16.avi,2,0.304185274,11,4,8,4
IMG_8685_17.avi,1.785714286,0.321481247,4,2.8,5,4
IMG_8685_18.avi,0.659340659,0.320401182,5,3.033333333,2,3.033333333
IMG_8686_00.avi,1.5,0.231813894,45,4,6,4
IMG_8686_01.avi,1,0.236534329,54,4,4,4
IMG_8686_02.avi,0.375,0.209328967,45,2.666666667,1,4
IMG_8686_03.avi,0.762711864,0.289362963,21,3.933333333,3,4
IMG_8686_04.avi,1.75,0.272945445,28,4,7,4
IMG_8686_05.avi,0.75,0.249850687,55,4,3,4
IMG_8686_06.avi,2,0.302637107,8,4,8,4
IMG_8686_07.avi,1.25,0.242707714,59,4,5,4
IMG_8686_08.avi,2.268907563,0.240060292,29,3.966666667,9,4
IMG_8686_09.avi,1.75,0.271958099,24,4,7,4
IMG_8686_10.avi,1.25,0.272162079,25,4,5,4
IMG_8686_11.avi,1.442307692,0.256085752,54,3.466666667,5,4
IMG_8686_12.avi,1.084337349,0.25011989,38,2.766666667,3,4
IMG_8686_13.avi,1.428571429,0.228614784,28,2.1,3,2.1
IMG_8687_00.avi,1.794871795,0.262171606,36,3.9,7,4
IMG_8687_01.avi,0.75,0.239354111,42,4,3,4
IMG_8687_02.avi,0.75,0.246425459,66,4,3,4
IMG_8687_03.avi,0,0.19143779,56,1.866666667,0,1.866666667
IMG_8691_00.avi,0,0.321638931,2,2.066666667,0,4
IMG_8691_01.avi,0.25,0.355067766,5,4,1,4
IMG_8691_02.avi,1.260504202,0.300872771,15,3.966666667,5,4
IMG_8691_03.avi,1.25,0.282460429,27,4,5,4
IMG_8691_04.avi,1.008403361,0.294334347,15,3.966666667,4,4
IMG_8691_05.avi,2.25,0.278260761,17,4,9,4
IMG_8691_06.avi,1.25,0.32288808,6,4,5,4
IMG_8691_07.avi,0.75,0.330337009,6,4,3,4
IMG_8691_08.avi,1,0.303605394,17,4,4,4
IMG_8691_09.avi,1.794871795,0.296895575,9,3.9,7,4
IMG_8691_10.avi,1.061946903,0.301618097,12,3.766666667,4,4
IMG_8691_11.avi,1.75,0.298301042,14,4,7,4
IMG_8691_12.avi,1.25,0.299161207,18,4,5,4
IMG_8691_13.avi,0.5,0.340311803,7,4,2,4
IMG_8691_14.avi,2.25,0.287264171,10,4,9,4
IMG_8691_15.avi,2.079207921,0.293466076,12,3.366666667,7,4
IMG_8691_16.avi,0,0.348443063,1,0.766666667,0,0.933333333
IMG_8744_00.avi,1.25,0.306434957,4,4,5,4
IMG_8744_01.avi,1,0.310816889,4,4,4,4
IMG_8744_02.avi,1.25,0.303687621,9,4,5,4
IMG_8744_03.avi,2.75,0.271019702,30,4,11,4
IMG_8744_04.avi,1.260504202,0.270345761,41,3.966666667,5,4
IMG_8744_05.avi,2,0.263304263,17,4,8,4
IMG_8744_06.avi,1.538461538,0.249601406,24,3.9,6,4
IMG_8744_07.avi,0.5,0.247977601,69,4,2,4
IMG_8744_08.avi,0,0.205623791,120,4,0,4
IMG_8744_09.avi,0.504201681,0.192316908,85,3.966666667,2,4
IMG_8744_10.avi,0.25,0.201050646,108,4,1,4
IMG_8744_11.avi,0,0.212630228,120,4,0,4
IMG_8744_12.avi,0,0.188303814,45,1.5,0,1.5
IMG_8752_00.avi,2,0.277723,28,4,8,4
IMG_8752_01.avi,1,0.321156022,4,4,4,4
IMG_8752_02.avi,1,0.316251269,4,4,4,4
IMG_8752_03.avi,1.75,0.283826375,27,4,7,4
IMG_8752_04.avi,2,0.250463965,43,4,8,4
IMG_8752_05.avi,1.5,0.277019238,28,4,6,4
IMG_8752_06.avi,2.5,0.304238163,9,4,10,4
IMG_8752_07.avi,2,0.293998639,14,4,8,4
IMG_8752_08.avi,1,0.323698289,10,4,4,4
IMG_8752_09.avi,2.75,0.292562045,8,4,11,4
IMG_8752_10.avi,2.75,0.287577099,7,4,11,4
IMG_8752_11.avi,2.75,0.286824825,17,4,11,4
IMG_8752_12.avi,2.5,0.289569385,11,4,10,4
IMG_8752_13.avi,0.5,0.304010978,29,4,2,4
IMG_8752_14.avi,1.212121212,0.279243996,42,3.3,4,4
IMG_8752_15.avi,1.25,0.28570506,15,4,5,4
IMG_8752_16.avi,1.293103448,0.330348297,5,3.866666667,5,4
IMG_8752_17.avi,2.105263158,0.285079305,28,3.8,8,4
IMG_8752_18.avi,1.5,0.299325528,5,4,6,4
IMG_8752_19.avi,0.5,0.339283145,5,4,2,4
IMG_8752_20.avi,1.75,0.289439357,23,4,7,4
IMG_8752_21.avi,1.5,0.296853009,13,4,6,4
IMG_8752_22.avi,2.75,0.279421386,14,4,11,4
IMG_8752_23.avi,0.25,0.259933441,89,4,1,4
IMG_8752_24.avi,2,0.305930712,8,4,8,4
IMG_8752_25.avi,2,0.285016487,19,4,8,4
IMG_8752_26.avi,1,0.220083634,43,4,4,4
IMG_8752_27.avi,0.75,0.230370915,49,4,3,4
IMG_8752_28.avi,3,0.238953167,17,4,12,4
IMG_8752_29.avi,1,0.249695957,37,4,4,4
IMG_8752_30.avi,1.25,0.231994732,56,4,5,4
IMG_8752_31.avi,0.5,0.18308571,97,4,2,4
IMG_8752_32.avi,0,0.15922448,120,4,0,4
IMG_8752_33.avi,0.5,0.194682358,104,4,2,4
IMG_8752_34.avi,0.833333333,0.203017722,55,3.6,3,3.6